id,codexid,cote,element,theme
38045,47,E_07_20,piqui,01.03.06
38046,47,E_07_20,mitl,05.13.01
38047,47,E_07_22,huitzilin,02.01.04
38048,47,E_07_22,ihuitl,02.01.16
38049,47,E_08_01,xihuitl_4,06.01.04
38050,47,E_08_01,ce,06.01.01
38051,47,E_08_01,calli,05.01.01
38052,47,E_08_01,xiuhtic,08.01.03
38053,47,E_08_02,xihuitl_4,06.01.04
38054,47,E_08_02,ce,06.01.01
38055,47,E_08_02,tochtli,02.02.08
38056,47,E_08_02,xiuhtic,08.01.03
38057,47,E_08_03,xihuitl_4,06.01.04
38058,47,E_08_03,ce,06.01.01
38059,47,E_08_03,acatl,03.02.05
38060,47,E_08_03,xiuhtic,08.01.03
38061,47,E_08_04,xihuitl_4,06.01.04
38062,47,E_08_04,ce,06.01.01
38063,47,E_08_04,tecpatl,04.04.08
38064,47,E_08_04,xiuhtic,08.01.03
38065,47,E_08_05,xihuitl_4,06.01.04
38066,47,E_08_05,ce,06.01.01
38067,47,E_08_05,calli,05.01.01
38068,47,E_08_05,xiuhtic,08.01.03
38069,47,E_08_06,xihuitl_4,06.01.04
38070,47,E_08_06,ce,06.01.01
38071,47,E_08_06,tochtli,02.02.08
38072,47,E_08_06,xiuhtic,08.01.03
38073,47,E_08_07,xihuitl_4,06.01.04
38074,47,E_08_07,ce,06.01.01
38075,47,E_08_07,acatl,03.02.05
38076,47,E_08_07,xiuhtic,08.01.03
38077,47,E_08_08,xihuitl_4,06.01.04
38078,47,E_08_08,ce,06.01.01
38079,47,E_08_08,tecpatl,04.04.08
38080,47,E_08_08,xiuhtic,08.01.03
38081,47,E_08_09,xihuitl_4,06.01.04
38082,47,E_08_09,ce,06.01.01
38083,47,E_08_09,calli,05.01.01
38084,47,E_08_09,xiuhtic,08.01.03
38085,47,E_08_10,xihuitl_4,06.01.04
38086,47,E_08_10,ce,06.01.01
38087,47,E_08_10,tochtli,02.02.08
38088,47,E_08_10,xiuhtic,08.01.03
38089,47,E_08_11,xihuitl_4,06.01.04
38090,47,E_08_11,ce,06.01.01
38091,47,E_08_11,acatl,03.02.05
38092,47,E_08_11,xiuhtic,08.01.03
38093,47,E_08_12,xihuitl_4,06.01.04
38094,47,E_08_12,ce,06.01.01
38095,47,E_08_12,tecpatl,04.04.08
38096,47,E_08_12,xiuhtic,08.01.03
38097,47,E_08_13,xihuitl_4,06.01.04
38098,47,E_08_13,ce,06.01.01
38099,47,E_08_13,calli,05.01.01
