id,codexid,cote,lecture,element
2974,8,A36v_4_A,tochtli," tochtli,"
2975,8,A37r_1_A,tochtli," tochtli,"
2976,8,A37r_2_A,tlilchochopitl," tototl, tliltic,"
2977,8,A37r_3_A,quiyauh," quiyahuitl,"
2978,8,A37r_4_A,ehecaix," nextli, etl, ixtelolotli,"
2979,8,A37v_1_A,chalchiuhtemoc," chalchihuitl, tetl, xocpalmachiyotl,"
2980,8,A37v_2_A,xochiteotl," xochitl, tetl, xocpalmachiyotl, otli,"
2981,8,A37v_3_A,cohuacuech," atl, comitl, cuechtli,"
2982,8,A37v_4_A,chicomaca," macuilli, ce, acatl, atl,"
2983,8,A38r_1_A,quechol," quecholli,"
2984,8,A38r_2_A,mizqui ?," mizquicuahuitl,"
2985,8,A38r_3_A,colohua," coltic, otli, xocpalmachiyotl, atl, comitl, tlacatl,"
2986,8,A38r_4_A,teicniuh ?," huictli, tentli, tetl,"
2987,8,A38v_1_A,xochitepi," xochitl, tetl, piqui, ?,"
2988,8,A38v_2_A,chicotlalpil," tlantli, tlalpilli, tlalli,"
2989,8,A38v_3_A,teuhtli," teuhtli, tetl,"
2990,8,A38v_4_A,?," ?,"
2991,8,A39r_1_A,namol," ihuitl, olli, tlatzacuillotl,"
2992,8,A39r_2_A,?," coyolli,"
2993,8,A39r_3_A,cohuateotl," tetl, cohuatl,"
2994,8,A39r_4_A,xochiten," xochitl, tentli,"
2995,8,A39v_2_A,nemitl," nenetl, xocpalmachiyotl,"
2996,8,A40r_1_A,antecon," tentli, comitl, atl,"
2997,8,A40v_1_A,yaocomo," chimalli, macuahuitl, itztli, tletl,"
2998,8,A40v_2_A,cihuatlatoa," cihuatl, tlatoa, tlantli,"
2999,8,A40v_3_A,cuauhihui," toztli, ihuitl, cuauhtli,"
3000,8,A40v_4_A,mixcohuatl," cohuatl, mixtli,"
3001,8,A40v_5_A,ixehecatl," nextli, etl, ixtelolotli,"
3002,8,A41r_1_A,echopitl," tototl, etl,"
3003,8,A41r_2_A,cuetzpal," tzontli, cuetzpalin,"
3004,8,A41r_3_A,tochtli," tochtli,"
3005,8,A41r_4_A,aca," mitl, acatl,"
3006,8,A41r_5_A,miltepitl," mitl, tlalli, tentli,"
3007,8,A41v_1_A,tlalohuacuauh," ohuatl, tlalli, tlantli,"
3008,8,A41v_2_A,chimaltetlacauh," tlacatl, cuauhcozcatl, chimalli,"
3009,8,A41v_3_A,tlaocoxtica," onoc, petlatl, ?, tlantli,"
3010,8,A41v_4_A,tecuacillotl," tecciztli, tentli, tlacatl,"
3011,8,A41v_5_A,cuetzpal," tzontli, cuetzpalin,"
3012,8,A42r_1_A,cuetlach," cuetlachtli,"
3013,8,A42r_2_A,tlahuel ?," huehuetl, ?, tlantli,"
3014,8,A42v_1_A,yaotl," chimalli, macuahuitl, itztli,"
3015,8,A42v_2_A,maya," macpalli, atl,"
3016,8,A42v_3_A,cuahui ?," tlacatl, cuauhtli,"
3017,8,A43r_1_A,ixehecatl," nextli, etl, ixtelolotli,"
3018,8,A43r_1_B,xoltecuauh ?," xocpalmachiyotl, otli, cuahuitl_1, tetl,"
3019,8,A43r_2_A,echopitl," tototl, etl,"
3020,8,A43r_3_A,cuetzpal," tzontli, cuetzpalin,"
3021,8,A43r_4_A,tochtli," tochtli,"
3022,8,A43r_4_B,tolol," toloa,"
3023,8,A43v_1_A,aca," mitl, acatl,"
3024,8,A43v_2_A,miltepitl," mitl, tlalli, tentli,"
3025,8,A43v_3_A,tlalohuacuauh," ohuatl, tlalli, tlantli,"
3026,8,A43v_4_A,chimaltetlacauh," tlacatl, cuauhcozcatl, chimalli,"
3027,8,A44r_1_A,tlaocoxtica," onoc, ixayotl, tlantli,"
3028,8,A44r_2_A,tecuacillotl," tecciztli, tlacatl, tentli,"
3029,8,A44r_3_A,cuetzpal," tzontli, cuetzpalin,"
3030,8,A44r_4_A,cuetlach," cuetlachtli,"
3031,8,A44v_1_A,tlahuel ?," huehuetl, ?, tlantli,"
3032,8,A45r_1_A,ixehecatl," nextli, etl, ixtelolotli,"
3033,8,A45r_1_B,xoltecuauh ?," xocpalmachiyotl, otli, cuahuitl_1, tetl,"
